TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"9196764","One Piece Card Game","Adventure on Kami's Island","Absalom","","OP15-079","C","Near Mint","0.08","","1.5000","0.0100","","0","",""
"9196765","One Piece Card Game","Adventure on Kami's Island","Absalom","","OP15-079","C","Lightly Played","0.16","","1.5400","0.0500","","0","",""
"9196766","One Piece Card Game","Adventure on Kami's Island","Absalom","","OP15-079","C","Moderately Played","","","","","","0","",""
"9196767","One Piece Card Game","Adventure on Kami's Island","Absalom","","OP15-079","C","Heavily Played","","","6.2400","0.2500","","0","",""
"9196768","One Piece Card Game","Adventure on Kami's Island","Absalom","","OP15-079","C","Damaged","","","","","","0","",""
"9201361","One Piece Card Game","Adventure on Kami's Island","Adventure on Kami's Island - Dash Pack","","","None","Unopened","4.82","","5.0000","5.0000","","0","",""
"9233365","One Piece Card Game","Adventure on Kami's Island","Adventure on Kami's Island - Sleeved Booster Pack","","","None","Unopened","14.51","","15.0000","15.0000","0","0","10.0000",""
"9177875","One Piece Card Game","Adventure on Kami's Island","Adventure on Kami's Island Booster Box","","","None","Unopened","253.45","","251.6900","251.6900","","0","",""
"9177876","One Piece Card Game","Adventure on Kami's Island","Adventure on Kami's Island Booster Box Case","","","None","Unopened","2902.94","","3100.0000","3097.0000","","0","",""
"9177874","One Piece Card Game","Adventure on Kami's Island","Adventure on Kami's Island Booster Pack","","","None","Unopened","7.62","","7.4900","7.4900","","0","",""
"9196149","One Piece Card Game","Adventure on Kami's Island","Alpha","","EB04-042","C","Near Mint","0.03","","1.5000","0.0100","","0","",""
"9196150","One Piece Card Game","Adventure on Kami's Island","Alpha","","EB04-042","C","Lightly Played","0.13","","1.5200","0.0300","","0","",""
"9196151","One Piece Card Game","Adventure on Kami's Island","Alpha","","EB04-042","C","Moderately Played","","","","","","0","",""
"9196152","One Piece Card Game","Adventure on Kami's Island","Alpha","","EB04-042","C","Heavily Played","","","","","","0","",""
"9196153","One Piece Card Game","Adventure on Kami's Island","Alpha","","EB04-042","C","Damaged","","","","","","0","",""
"9196309","One Piece Card Game","Adventure on Kami's Island","Alvida","","OP15-003","R","Near Mint Foil","0.16","","1.5100","0.0100","","0","",""
"9196310","One Piece Card Game","Adventure on Kami's Island","Alvida","","OP15-003","R","Lightly Played Foil","0.22","","1.6900","0.2000","","0","",""
"9196311","One Piece Card Game","Adventure on Kami's Island","Alvida","","OP15-003","R","Moderately Played Foil","","","","","","0","",""
"9196312","One Piece Card Game","Adventure on Kami's Island","Alvida","","OP15-003","R","Heavily Played Foil","","","","","","0","",""
"9196313","One Piece Card Game","Adventure on Kami's Island","Alvida","","OP15-003","R","Damaged Foil","","","","","","0","",""
"9196314","One Piece Card Game","Adventure on Kami's Island","Alvida (Alternate Art)","","OP15-003","R","Near Mint Foil","5.62","","6.4500","6.4500","","0","",""
"9196315","One Piece Card Game","Adventure on Kami's Island","Alvida (Alternate Art)","","OP15-003","R","Lightly Played Foil","8.09","","6.4000","6.4000","","0","",""
"9196316","One Piece Card Game","Adventure on Kami's Island","Alvida (Alternate Art)","","OP15-003","R","Moderately Played Foil","4.50","","","","","0","",""
"9196317","One Piece Card Game","Adventure on Kami's Island","Alvida (Alternate Art)","","OP15-003","R","Heavily Played Foil","","","","","","0","",""
"9196318","One Piece Card Game","Adventure on Kami's Island","Alvida (Alternate Art)","","OP15-003","R","Damaged Foil","","","","","","0","",""
"9196644","One Piece Card Game","Adventure on Kami's Island","Amazon","","OP15-059","C","Near Mint","0.03","","1.5000","0.0100","","0","",""
"9196645","One Piece Card Game","Adventure on Kami's Island","Amazon","","OP15-059","C","Lightly Played","","","1.5100","0.0200","","0","",""
"9196646","One Piece Card Game","Adventure on Kami's Island","Amazon","","OP15-059","C","Moderately Played","","","","","","0","",""
"9196647","One Piece Card Game","Adventure on Kami's Island","Amazon","","OP15-059","C","Heavily Played","","","","","","0","",""
"9196648","One Piece Card Game","Adventure on Kami's Island","Amazon","","OP15-059","C","Damaged","","","","","","0","",""
"9196614","One Piece Card Game","Adventure on Kami's Island","And No One Else Can Have It! It's Our Memento of Him","","OP15-054","C","Near Mint","0.12","","1.5000","0.0100","","0","",""
"9196615","One Piece Card Game","Adventure on Kami's Island","And No One Else Can Have It! It's Our Memento of Him","","OP15-054","C","Lightly Played","0.09","","1.5500","0.0600","","0","",""
"9196616","One Piece Card Game","Adventure on Kami's Island","And No One Else Can Have It! It's Our Memento of Him","","OP15-054","C","Moderately Played","","","","","","0","",""
"9196617","One Piece Card Game","Adventure on Kami's Island","And No One Else Can Have It! It's Our Memento of Him","","OP15-054","C","Heavily Played","","","","","","0","",""
"9196618","One Piece Card Game","Adventure on Kami's Island","And No One Else Can Have It! It's Our Memento of Him","","OP15-054","C","Damaged","","","","","","0","",""
"9196429","One Piece Card Game","Adventure on Kami's Island","Arlong","","OP15-023","R","Near Mint Foil","0.22","","1.5400","0.0500","","0","",""
"9196430","One Piece Card Game","Adventure on Kami's Island","Arlong","","OP15-023","R","Lightly Played Foil","0.30","","1.7200","0.2300","","0","",""
"9196431","One Piece Card Game","Adventure on Kami's Island","Arlong","","OP15-023","R","Moderately Played Foil","","","12.3000","0.3100","","0","",""
"9196432","One Piece Card Game","Adventure on Kami's Island","Arlong","","OP15-023","R","Heavily Played Foil","","","","","","0","",""
"9196433","One Piece Card Game","Adventure on Kami's Island","Arlong","","OP15-023","R","Damaged Foil","","","","","","0","",""
"9201362","One Piece Card Game","Adventure on Kami's Island","Arlong (Dash Pack)","","OP15-023","R","Near Mint Foil","1.30","","2.4900","1.0000","","0","",""
"9201363","One Piece Card Game","Adventure on Kami's Island","Arlong (Dash Pack)","","OP15-023","R","Lightly Played Foil","2.42","","2.5100","1.0200","","0","",""
"9201364","One Piece Card Game","Adventure on Kami's Island","Arlong (Dash Pack)","","OP15-023","R","Moderately Played Foil","0.99","","","","","0","",""
"9201365","One Piece Card Game","Adventure on Kami's Island","Arlong (Dash Pack)","","OP15-023","R","Heavily Played Foil","","","","","","0","",""
"9201366","One Piece Card Game","Adventure on Kami's Island","Arlong (Dash Pack)","","OP15-023","R","Damaged Foil","1.00","","2.9800","0.9900","","0","",""
"9196404","One Piece Card Game","Adventure on Kami's Island","Barrier Bulls","","OP15-019","UC","Near Mint","0.15","","1.5200","0.0300","","0","",""
"9196405","One Piece Card Game","Adventure on Kami's Island","Barrier Bulls","","OP15-019","UC","Lightly Played","0.18","","1.5500","0.0600","","0","",""
"9196406","One Piece Card Game","Adventure on Kami's Island","Barrier Bulls","","OP15-019","UC","Moderately Played","","","","","","0","",""
"9196407","One Piece Card Game","Adventure on Kami's Island","Barrier Bulls","","OP15-019","UC","Heavily Played","","","","","","0","",""
"9196408","One Piece Card Game","Adventure on Kami's Island","Barrier Bulls","","OP15-019","UC","Damaged","","","","","","0","",""
"9196234","One Piece Card Game","Adventure on Kami's Island","Bartholomew Kuma (EB04-054)","","EB04-054","R","Near Mint Foil","0.17","","1.5400","0.0500","","0","",""
"9196235","One Piece Card Game","Adventure on Kami's Island","Bartholomew Kuma (EB04-054)","","EB04-054","R","Lightly Played Foil","0.29","","1.6900","0.2000","","0","",""
