TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"4255910","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Near Mint","0.28","","1.6400","0.1500","","0","",""
"4255911","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Lightly Played","0.28","","1.6900","0.1000","","0","",""
"4255912","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Moderately Played","0.18","","1.5600","0.0700","","0","",""
"4255913","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Heavily Played","","","1.7400","0.2500","","0","",""
"4255914","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Damaged","0.32","","1.7900","0.3000","","0","",""
"4255915","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Near Mint Reverse Holofoil","2.77","","3.9900","2.5000","","0","",""
"4255916","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Lightly Played Reverse Holofoil","0.89","","3.4400","1.9500","","0","",""
"4255917","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Moderately Played Reverse Holofoil","0.33","","1.7900","0.3000","","0","",""
"4255918","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Heavily Played Reverse Holofoil","","","","","","0","",""
"4255919","Pokemon","SM - Cosmic Eclipse","Absol","","133/236","Uncommon","Damaged Reverse Holofoil","0.25","","","","","0","",""
"4257005","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Near Mint","0.26","0.13","1.5100","0.0200","","0","",""
"4257006","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Lightly Played","0.22","","1.5400","0.0500","","0","",""
"4257007","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Moderately Played","0.09","","1.6300","0.1400","","0","",""
"4257008","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Heavily Played","","","1.5000","0.0100","","0","",""
"4257009","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Damaged","","","1.5900","0.1000","","0","",""
"4257010","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Near Mint Reverse Holofoil","0.44","","1.6900","0.2000","","0","",""
"4257011","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Lightly Played Reverse Holofoil","0.34","","1.6900","0.2000","","0","",""
"4257012","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Moderately Played Reverse Holofoil","0.26","","1.6400","0.1500","","0","",""
"4257013","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Heavily Played Reverse Holofoil","","","","","","0","",""
"4257014","Pokemon","SM - Cosmic Eclipse","Aipom","","169/236","Common","Damaged Reverse Holofoil","","","","","","0","",""
"4255860","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Near Mint","0.15","","1.5400","0.0500","","0","",""
"4255861","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Lightly Played","0.18","","1.5800","0.0900","","0","",""
"4255862","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Moderately Played","0.10","","1.5900","0.1000","","0","",""
"4255863","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Heavily Played","","","1.6900","0.2000","","0","",""
"4255864","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Damaged","","","2.6900","1.2000","","0","",""
"4255865","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Near Mint Reverse Holofoil","0.43","","1.7400","0.2500","","0","",""
"4255866","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Lightly Played Reverse Holofoil","0.38","","1.7400","0.2500","","0","",""
"4255867","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Moderately Played Reverse Holofoil","0.20","","1.6100","0.1200","","0","",""
"4255868","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Heavily Played Reverse Holofoil","0.25","","1.7400","0.2500","","0","",""
"4255869","Pokemon","SM - Cosmic Eclipse","Alolan Grimer","","130/236","Common","Damaged Reverse Holofoil","","","1.6900","0.2000","","0","",""
"4255835","Pokemon","SM - Cosmic Eclipse","Alolan Meowth","","128/236","Common","Near Mint","0.35","","1.6400","0.1500","","0","",""
