TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"9464785","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Booster Display","","","None","Unopened","","","","","","0","",""
"9464787","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Booster Display Case","","","None","Unopened","","","","","","0","",""
"9464786","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Booster Pack","","","None","Unopened","","","","","","0","",""
"9464788","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Pre-Rift Event Kit","","","None","Unopened","","","","","","0","",""
"9464789","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Pre-Rift Kit","","","None","Unopened","","","","","","0","",""
"9464796","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Vault Bundle","","","None","Unopened","","","","","","0","",""
"9464795","Riftbound League of Legends Trading Card Game","Legacy","Legacy - Vault Bundle Case","","","None","Unopened","","","","","","0","",""
"8926937","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Near Mint","0.72","","1.8900","0.4000","0","0","0.4600",""
"8926938","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Lightly Played","0.45","","1.9700","0.4800","","0","",""
"8926939","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Moderately Played","0.14","","20.1300","0.1400","","0","",""
"8926940","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Heavily Played","","","","","","0","",""
"8926941","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Damaged","","","","","","0","",""
"8926942","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Near Mint Foil","3.78","","4.7800","3.2900","","0","",""
"8926943","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Lightly Played Foil","1.68","","4.9900","1.0000","","0","",""
"8926944","Riftbound League of Legends Trading Card Game","Origins","Acceptable Losses","","179/298","Uncommon","Moderately Played Foil","","","","","","0","",""
