TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8607459","Pokemon","SV09: Journey Together","Accelgor","","013/159","Uncommon","Near Mint","0.07","0.01","1.5000","0.0100","","0","",""
"8607464","Pokemon","SV09: Journey Together","Accelgor","","013/159","Uncommon","Near Mint Reverse Holofoil","0.26","0.15","1.5100","0.0200","","0","",""
"8608039","Pokemon","SV09: Journey Together","Alcremie ex","","075/159","Double Rare","Near Mint Holofoil","0.67","0.68","1.8900","0.4000","","0","",""
"8607749","Pokemon","SV09: Journey Together","Alolan Geodude","","044/159","Common","Near Mint","0.13","0.01","1.5000","0.0100","","0","",""
"8607754","Pokemon","SV09: Journey Together","Alolan Geodude","","044/159","Common","Near Mint Reverse Holofoil","0.30","0.14","1.5000","0.0100","","0","",""
"8607769","Pokemon","SV09: Journey Together","Alolan Golem","","046/159","Uncommon","Near Mint","0.11","0.01","1.5000","0.0100","","0","",""
"8607774","Pokemon","SV09: Journey Together","Alolan Golem","","046/159","Uncommon","Near Mint Reverse Holofoil","0.41","0.40","1.6700","0.1800","","0","",""
"8607759","Pokemon","SV09: Journey Together","Alolan Graveler","","045/159","Common","Near Mint","0.13","0.05","1.5000","0.0100","","0","",""
"8607764","Pokemon","SV09: Journey Together","Alolan Graveler","","045/159","Common","Near Mint Reverse Holofoil","0.22","0.15","1.5000","0.0100","","0","",""
"8607864","Pokemon","SV09: Journey Together","Alolan Marowak","","057/159","Uncommon","Near Mint","0.15","0.01","1.5000","0.0100","","0","",""
"8607869","Pokemon","SV09: Journey Together","Alolan Marowak","","057/159","Uncommon","Near Mint Reverse Holofoil","0.26","0.15","1.5000","0.0100","","0","",""
"8607444","Pokemon","SV09: Journey Together","Amoonguss ex","","011/159","Double Rare","Near Mint Holofoil","0.51","0.61","1.6900","0.2000","","0","",""
"8607634","Pokemon","SV09: Journey Together","Articuno - 032/159","","032/159","Uncommon","Near Mint","0.20","0.05","1.5000","0.0100","","0","",""
"8607639","Pokemon","SV09: Journey Together","Articuno - 032/159","","032/159","Uncommon","Near Mint Reverse Holofoil","0.43","0.42","1.6000","0.1100","","0","",""
"8608859","Pokemon","SV09: Journey Together","Articuno - 161/159","","161/159","Illustration Rare","Near Mint Holofoil","22.03","21.98","22.9800","21.9800","0","0","25.9900",""
